describle,evaluate,introduce,movie_name,serial_number,star
爱情纠缠，男女一致。,341925人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...,春光乍泄,82,8.9
人生中应该拥有这样的一段豁然开朗。,374505人评价,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...,心灵捕手,83,8.8
昔日翩翩少年，今日大腹便便。,499265人评价,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,禁闭岛,84,8.7
小清新的故事里注入了大历史的情怀。,462312人评价,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...,布达佩斯大饭店,85,8.8
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,228958人评价,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...,穿条纹睡衣的男孩,86,9.0
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,386288人评价,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...,入殓师,87,8.8
绝对意义上的美轮美奂。,732971人评价,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,阿凡达,88,8.7
人与自然的战争史诗。,314096人评价,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...,幽灵公主,89,8.8
一场华丽的意淫。,359420人评价,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao,阳光灿烂的日子,90,8.8
最不可能的那个人永远是最可能的。,428012人评价,导演:JamesMangold主演:JohnCusack/RayLiotta/AmandaPeet,致命ID,91,8.7
深入内心的恐怖，出人意料的结局。,307879人评价,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...,第六感,92,8.8
约翰尼·德普的独角戏。,482184人评价,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...,加勒比海盗,93,8.7
人言可畏。,184660人评价,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...,狩猎,94,9.1
你是我最好的朋友，你是我唯一的朋友 。,278461人评价,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...,玛丽和马克思,95,8.9
每个人心中都有一座断背山。,422948人评价,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,断背山,96,8.7
寂寞没有期限。,440413人评价,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...,重庆森林,97,8.7
大时代中的人生，小人物的悲喜。,134635人评价,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,摩登时代,98,9.2
我是一个演员。,469418人评价,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...,喜剧之王,99,8.7
没有一人完全善，也没有一人完全恶。,442360人评价,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...,告白,100,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,327699人评价,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...,大鱼,101,8.8
年度最佳date movie。,490233人评价,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...,消失的爱人,102,8.7
我们都曾经是一一。,199417人评价,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...,一一,103,9.0
百看不厌。 ,361530人评价,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,射雕英雄传之东成西就,104,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,354213人评价,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...,阳光姐妹淘,105,8.8
相逢只要一瞬间，等待却像是一辈子。,291707人评价,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...,甜蜜蜜,106,8.8
缘分是个连绵词，最美不过一瞬。,300749人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,爱在黎明破晓前,107,8.8
那些静得只能听见呼吸的日子里，你明白孤独即生活。,203943人评价,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...,小森林 夏秋篇,108,9.0
和谐的生活离不开摸头与被摸头。,404808人评价,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...,驯龙高手,109,8.7
少女情怀总是诗。,234518人评价,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...,侧耳倾听,110,8.8
梦的勾结。,192664人评价,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/江守彻Toru...,红辣椒,111,8.9
沉醉在电影的情感和视听氛围中无法自拔。,292013人评价,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer/...,请以你的名字呼唤我,112,8.8
两张绝世的脸。 ,368639人评价,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...,倩女幽魂,113,8.7
恐怖分子的“秋菊打官司”。,323560人评价,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,恐怖直播,114,8.7
动画片的圣经。,231418人评价,导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/松田洋治Y...,风之谷,115,8.8
被上帝抛弃了的上帝之城。,191450人评价,导演:KátiaLund/FernandoMeirelles主演:AlexandreRodrigues/Lea...,上帝之城,116,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,237680人评价,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...,超脱,117,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,262718人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,爱在日落黄昏时,118,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,257687人评价,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...,菊次郎的夏天,119,8.8
有时候幸福需要等一等。 ,291575人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,幸福终点站,120,8.7
10年的完美句点。,379600人评价,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...,哈利·波特与死亡圣器(下),121,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,177993人评价,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...,小森林 冬春篇,122,9.0
关于连环杀人悬案的集体回忆。,282206人评价,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,杀人回忆,123,8.7
《我是山姆》的《美丽人生》。,251003人评价,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...,7号房的礼物,124,8.8
Mr. I Don't Care其实也有Care的时候。,530536人评价,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...,神偷奶爸,125,8.5
曾经的那段美好会沉淀为一辈子的记忆。,286011人评价,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...,借东西的小人阿莉埃蒂,126,8.7
触不到的恋人。,234635人评价,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...,萤火之森,127,8.8
华太师是黄霑，吴镇宇四大才子之一。,496451人评价,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...,唐伯虎点秋香,128,8.5
